Fecha,Docto,Folio,TipoMovimiento,Almacen,Entradas,Salidas,Existencias,CostoUnitario,CantPorCostear,Capas,CodigoProducto,DescripcionProducto,Unidad,Últ.Compra,ControlAlmacen,MinStock,MaxStock,ExistenciaTotal
18/Nov/2021,RECEP02306,41234,Compras,1,80.5,0.0,80.5,53.88609,0.0,0.0,AL8020-10,ALAMBRE 8020 CAL.10,M,13/Sep/2023,MP,0.0,0.0,95.2
21/Oct/2021,RECEP02246,40007,Compras,1,1000.0,0.0,1657.0,2.47,0.0,0.0,ZAP0041,ZAPATA OJILLO A.T. CAL 10-12,PZ,31/Oct/2023,M,100.0,300.0,624.0
03/Sep/2021,RECEP02144,37678,Compras,1,1000.0,0.0,1491.0,2.47,0.0,0.0,ZAP0041,ZAPATA OJILLO A.T. CAL 10-12,PZ,31/Oct/2023,M,100.0,300.0,624.0
16/Jun/2021,RECEP01934,33367,Compras,1,1000.0,0.0,1610.0,2.47,0.0,0.0,ZAP0041,ZAPATA OJILLO A.T. CAL 10-12,PZ,31/Oct/2023,M,100.0,300.0,624.0
23/Abr/2021,RECEP01807,30717,Compras,1,1000.0,0.0,1983.0,2.47,0.0,0.0,ZAP0041,ZAPATA OJILLO A.T. CAL 10-12,PZ,31/Oct/2023,M,100.0,300.0,624.0
01/Mar/2021,RECEP01664,27977,Compras,1,1000.0,0.0,2173.0,2.47,0.0,0.0,ZAP0041,ZAPATA OJILLO A.T. CAL 10-12,PZ,31/Oct/2023,M,100.0,300.0,624.0
10/Dic/2021,RECEP02363,42395,Compras,1,200.0,0.0,346.869,27.9076,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
18/Oct/2021,RECEP02238,39783,Compras,1,300.0,0.0,492.844,25.3705,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
04/Oct/2021,RECEP02206,39098,Compras,1,200.0,0.0,373.754,25.3705,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
07/Sep/2021,RECEP02155,37778,Compras,1,200.0,0.0,475.584,25.3705,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
31/Ago/2021,RECEP02128,37395,Compras,1,200.0,0.0,429.084,25.3705,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
27/Jul/2021,RECEP02042,35617,Compras,1,200.0,0.0,443.514,25.3705,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
26/Jul/2021,RECEP02038,35511,Compras,1,200.0,0.0,449.514,18.0,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
25/Jun/2021,RECEP01972,33922,Compras,1,200.0,0.0,532.764,25.3705,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
04/Jun/2021,RECEP01911,32829,Compras,1,300.0,0.0,476.384,25.37,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
19/May/2021,RECEP01871,32004,Compras,1,200.0,0.0,522.884,25.37,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
17/May/2021,RECEP01857,31784,Compras,1,200.0,0.0,415.584,22.6522,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
23/Abr/2021,RECEP01812,30755,Compras,1,200.0,0.0,338.304,22.6522,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
30/Mar/2021,RECEP01743,29612,Compras,1,200.0,0.0,440.764,22.6522,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
26/Feb/2021,RECEP01654,27854,Compras,1,200.0,0.0,524.624,22.6522,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
26/Feb/2021,RECEP01653,27852,Compras,1,200.0,0.0,524.624,22.6522,0.0,0.0,CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,08/Nov/2023,C,200.0,400.0,540.0531
